example_id,selection_reason,source_attributes,observed_error_categories,source,reference,corrected_baseline_output,best_dual_decoder_output,final_combined_output,best_dual_decoder_reconstruction
0,fixed first 20 examples in WikiLarge test order,date_or_day;reference_compression_or_deletion;lexical_or_structural_change,failed_reconstruction,his next work saturday follows an especially eventful day in the life of a successful neurosurgeon.,his next work at saturday will be a successful neurosurgeon.,the first is a city of the united states.,the first is a city of the united states.,the first is a city of the united states.,the first is a commune in the calvados department in the basse normandie region of the basse
1,fixed first 20 examples in WikiLarge test order,long_sentence;lexical_or_structural_change,repetition;failed_reconstruction,the tarantula the trickster character spun a black cord and attaching it to the ball crawled away fast to the east pulling on the cord with all his strength.,the tarantuala the trickster spun a black chord and attached it to the ball crawling away fast to the east and pulling the chord with all his strength.,the first is a city of the first the first the first the first of the first,the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first,the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first the first,the first the first to the first the first to the first to the first to the first to the first to the first to the first to the second the first the second
2,fixed first 20 examples in WikiLarge test order,date_or_day;lexical_or_structural_change,hallucination_or_generic_output;failed_reconstruction,there he died six weeks later on january.,he died six weeks later on january th.,the first was a city of the first,he was a city of the first and other,he was a city of the first and other,it was a city in the united states
3,fixed first 20 examples in WikiLarge test order,lexical_or_structural_change,hallucination_or_generic_output;failed_reconstruction,they are culturally akin to the coastal peoples of papua new guinea.,their culture is similar to the culture of the coastal peoples of papua new guinea.,the first is a city of the first,the first was a city of the first the united states,the first was a city of the first the united states,the first was a city to the first to the united states
4,fixed first 20 examples in WikiLarge test order,long_sentence;reference_compression_or_deletion;lexical_or_structural_change,excessive_deletion;hallucination_or_generic_output;failed_reconstruction,following the drummers are dancers who often play the sogo lrb a tiny drum that makes almost no sound rrb and tend to have more elaborate even acrobatic choreography.,the drummers are dancers and often play the sogo which they tend to have arcobatic choreography.,the first is a city of the first,the first is a city of the first the united states,the first is a city of the first the united states,the first is a small to the first s first is a few the first to be a few to the second
5,fixed first 20 examples in WikiLarge test order,long_sentence;lexical_or_structural_change,repetition;failed_reconstruction,the spacecraft consists of two main elements the nasa cassini orbiter named after the italian french astronomer giovanni domenico cassini and the esa huygens probe named after the dutch astronomer mathematician and physicist christiaan huygens.,the spacecraft is having two main parts. one is known as nasa cassini orbiter. it is named after giovanni domenico cassini an italian french astronomer. the other part is known as esa huygens probe. it is named after christiaan huygens. he was a dutch astronomer mathematician and physicist.,the first is a city of the first the first of the first of the first of the united states of the first,the first the first the first the first the first of the first the first the first the first the first the first the first the first the first the first the first the first,the first the first the first the first the first of the first the first the first the first the first the first the first the first the first the first the first the first,the first the first was the first was the first the first the second to the second to the second to the second to the second to the second to the second
6,fixed first 20 examples in WikiLarge test order,date_or_day;reference_compression_or_deletion;lexical_or_structural_change,hallucination_or_generic_output,alessandro lrb sandro rrb mazzola lrb born november rrb is an italian former football player.,alessandro mazzola is an italian former football player.,it is a city of the region picardie,it is a city of the united states.,it is a city of the united states.,lrb born lrb born rrb is a former rrb is a former football football
7,fixed first 20 examples in WikiLarge test order,lexical_or_structural_change,repetition;failed_reconstruction,it was originally thought that the debris thrown up by the collision filled in the smaller craters.,it was thought that the debris thrown up by the collision filled the smaller craters.,the first is a city of the first,the first the first the first the first the first the first the first the first the first the first the first the first,the first the first the first the first the first the first the first the first the first the first the first the first,the first was the first was the first was the first the first was the second
8,fixed first 20 examples in WikiLarge test order,lexical_or_structural_change,hallucination_or_generic_output;failed_reconstruction,graham attended wheaton college from to when he graduated with a ba in anthropology.,graham attended wheaton college from to and graduated with a ba in anthropology.,he was a city of the united states.,it is a city of the united states in the united states.,it is a city of the united states in the united states.,in the first was a japanese in a japanese
9,fixed first 20 examples in WikiLarge test order,lexical_or_structural_change,failed_reconstruction,he was also named sportsman of the year by sports illustrated.,sports illustrated named him sportsman of the year in.,the first is a city of the first,the first was a city of the first,the first was a city of the first,the first was a city in the first was a city
10,fixed first 20 examples in WikiLarge test order,lexical_or_structural_change,failed_reconstruction,fives is a british sport believed to derive from the same origins as many racquet sports.,fives a british sport came from the same games as many racquet sports.,the first is a city of the united states of the united states.,the first is a city of the united states.,the first is a city of the united states.,the first is a commune in the first is a japanese
11,fixed first 20 examples in WikiLarge test order,date_or_day;reference_compression_or_deletion;lexical_or_structural_change,hallucination_or_generic_output;failed_reconstruction,for example king bhumibol was born on monday so on his birthday throughout thailand will be decorated with yellow color.,all over thailand the color yellow will be used to celebrate king bhumibal,he was a city of the first rrb was a former,the first lrb born november rrb was a former football player.,the first lrb born november rrb was a former football player.,in the first was a japanese in his japanese or s first japanese
12,fixed first 20 examples in WikiLarge test order,long_sentence;lexical_or_structural_change,excessive_deletion;hallucination_or_generic_output;failed_reconstruction,nevertheless tagore emulated numerous styles including craftwork from northern new ireland haida carvings from the west coast of canada lrb british columbia rrb and woodcuts by max pechstein.,tagore emulated various styles including craftwork from northern new ireland carvings from the west coast of canada and woodcuts by max pechstein neverthelessly,the first lrb born rrb is a former rrb is a former and a former lrb rrb is a former,the first is a city of the first year of the united states,the first is a city of the first year of the united states,the first lrb born the first was a city of the first lrb rrb was a small of the first was a few
13,fixed first 20 examples in WikiLarge test order,lexical_or_structural_change,hallucination_or_generic_output;failed_reconstruction,she performed for president reagan in s great performances at the white house series which aired on the public broadcasting service.,she did a show for president reagan in s great performances at the white house series which was shown on television on the public broadcasting service.,the first was a city of the first,the first was a city of the first year in the united states,the first was a city of the first year in the united states,the first was a city in the first was a commune in the first was a few
14,fixed first 20 examples in WikiLarge test order,long_sentence;lexical_or_structural_change,excessive_deletion;failed_reconstruction,perry saturn lrb with terri rrb defeated eddie guerrero lrb with chyna rrb to win the wwf european championship lrb rrb saturn pinned guerrero after a diving elbow drop.,perry saturn and terri defeated eddie guerrero and chyna to win the wwf european championship lrb rrb saturn pinned guerrero after a diving elbow drop.,the first lrb born rrb is a former rrb is a former rrb is a former lrb born rrb is a former lrb born rrb is a former rrb,the first lrb born november rrb is a former football player.,the first lrb born november rrb is a former football player.,the first lrb born lrb rrb is a former rrb is a former rrb was a former american lrb rrb was a former united states lrb rrb.
15,fixed first 20 examples in WikiLarge test order,lexical_or_structural_change,failed_reconstruction,she remained in the united states until when she and her husband returned to france.,she stayed in the united states until then she and her husband went to france.,the first is a city of the first,the first was a city of the first in the united states,the first was a city of the first in the united states,in the first was a commune in the united states.
16,fixed first 20 examples in WikiLarge test order,lexical_or_structural_change,hallucination_or_generic_output;failed_reconstruction,he also completed two collections of short stories entitled the ribbajack other curious yarns and seven strange and ghostly tales.,he also completed two collections of short storeis. the one title was the ribbajack other curious yarns. the other one was titled as seven strange and ghostly tales.,the first is a city of the first of the united states of the united states of the united states of the united states of the united states of the united,the first is a city of the first year of the united states,the first is a city of the first year of the united states,the first was a city of the first s first was a few to the second and other and the second
17,fixed first 20 examples in WikiLarge test order,lexical_or_structural_change,hallucination_or_generic_output;repetition;failed_reconstruction,at the voyager images ophelia appears as an elongated object the major axis pointing towards uranus.,at the voyager pictures ophelia appears as a stretched object. a stretched object was the major axis. it pointing towards uranus.,the first is a city of the first,the first the first the first the first the first the united states,the first the first the first the first the first the united states,the first is a commune in the first the first the second the second
18,fixed first 20 examples in WikiLarge test order,lexical_or_structural_change,repetition;failed_reconstruction,the british decided to eliminate him and take the land by force.,the british decided to put an end to him and take the land by force.,the first are the first the first first,the first was the first to the first and the united states,the first was the first to the first and the united states,the first was the second to the second
19,fixed first 20 examples in WikiLarge test order,long_sentence;reference_compression_or_deletion;lexical_or_structural_change,hallucination_or_generic_output;failed_reconstruction,some towns on the eyre highway in the south east corner of western australia between the south australian border almost as far as caiguna do not follow official western australian time.,there are some towns in western australia that do not follow official western australian time.,the first is a city of the first of the united states.,the first is a city of the first year of the united states of the united states,the first is a city of the first year of the united states of the united states,the first is a commune in the first department in the basse normandie in the second of the second of the second
